Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Super_Fund,Weighting_Percentage_Clean
Asset-class_Australian_Shares_Index_Superannuation,Equity,Sandfire Resources,,SFR AU,18599125.0,0.23,Listed,ART,0.23108444424458813
Asset-class_Australian_Shares_Index_Superannuation,Equity,Aurizon,,AZJ AU,18406381.0,0.23,Listed,ART,0.22868970039930087
Asset-class_Australian_Shares_Index_Superannuation,Equity,A2 Milk,,A2M AU,18155564.0,0.23,Listed,ART,0.22557342976548905
Asset-class_Australian_Shares_Index_Superannuation,Equity,Dyno Nobel,,DNL AU,17498530.0,0.22,Listed,ART,0.21741012440893068
Asset-class_Australian_Shares_Index_Superannuation,Equity,Ebos,,EBO AU,17381145.0,0.22,Listed,ART,0.21595167690198336
Asset-class_Australian_Shares_Index_Superannuation,Equity,Life360,,360 AU,17339448.0,0.22,Listed,ART,0.2154336133870779
Asset-class_Australian_Shares_Index_Superannuation,Equity,Block,,XYZ AU,17093985.0,0.21,Listed,ART,0.2123838634156352
Asset-class_Australian_Shares_Index_Superannuation,Equity,Ansell,,ANN AU,15735069.0,0.2,Listed,ART,0.19550003965322277
Asset-class_Australian_Shares_Index_Superannuation,Equity,Metcash,,MTS AU,15698073.0,0.2,Listed,ART,0.19504038361567946
Asset-class_Australian_Shares_Index_Superannuation,Equity,Perseus Mining,,PRU AU,14920978.0,0.19,Listed,ART,0.1853853828454686
Asset-class_Australian_Shares_Index_Superannuation,Equity,Challenger,,CGF AU,14653353.0,0.18,Listed,ART,0.1820602815629643
Asset-class_Australian_Shares_Index_Superannuation,Equity,Ventia Services,,VNT AU,14543549.0,0.18,Listed,ART,0.1806960240338691
Asset-class_Australian_Shares_Index_Superannuation,Equity,Genesis Minerals,,GMD AU,14536634.0,0.18,Listed,ART,0.18061010875925532
Asset-class_Australian_Shares_Index_Superannuation,Equity,Netwealth,,NWL AU,14441542.0,0.18,Listed,ART,0.17942864017016272
Asset-class_Australian_Shares_Index_Superannuation,Equity,Pilbara Minerals,,PLS AU,13249401.0,0.16,Listed,ART,0.16461690894914088
Asset-class_Australian_Shares_Index_Superannuation,Equity,Downer Group,,DOW AU,13061590.0,0.16,Listed,ART,0.1622834550604219
Asset-class_Australian_Shares_Index_Superannuation,Equity,Mineral Resources,,MIN AU,12163089.0,0.15,Listed,ART,0.1511200479518506
Asset-class_Australian_Shares_Index_Superannuation,Equity,Aub,,AUB AU,11959186.0,0.15,Listed,ART,0.14858665934164425
Asset-class_Australian_Shares_Index_Superannuation,Equity,Pinnacle Investment Management,,PNI AU,11860900.0,0.15,Listed,ART,0.14736550696555
Asset-class_Australian_Shares_Index_Superannuation,Equity,Amp,,AMP AU,11802011.0,0.15,Listed,ART,0.14663384180188668
Asset-class_Australian_Shares_Index_Superannuation,Equity,Regis Resources,,RRL AU,11648887.0,0.14,Listed,ART,0.14473135582792243
Asset-class_Australian_Shares_Index_Superannuation,Equity,Zip,,ZIP AU,11452872.0,0.14,Listed,ART,0.14229597151072454
Asset-class_Australian_Shares_Index_Superannuation,Equity,Gold Road Resources,,GOR AU,11442642.0,0.14,Listed,ART,0.14216886908710932
Asset-class_Australian_Shares_Index_Superannuation,Equity,Viva Energy,,VEA AU,11433575.0,0.14,Listed,ART,0.1420562163329628
Asset-class_Australian_Shares_Index_Superannuation,Equity,Capricorn Metals,,CMM AU,11387474.0,0.14,Listed,ART,0.14148343541105815
Asset-class_Australian_Shares_Index_Superannuation,Equity,Nib,,NHF AU,11298132.0,0.14,Listed,ART,0.14037340757815203
Asset-class_Australian_Shares_Index_Superannuation,Equity,Harvey Norman,,HVN AU,11188327.0,0.14,Listed,ART,0.1390091376245775
Asset-class_Australian_Shares_Index_Superannuation,Equity,Reliance Worldwide,,RWC AU,10641977.0,0.13,Listed,ART,0.13222102333893068
Asset-class_Australian_Shares_Index_Superannuation,Equity,Igo,,IGO AU,10515531.0,0.13,Listed,ART,0.13064999762471288
Asset-class_Australian_Shares_Index_Superannuation,Equity,Paladin Energy,,PDN AU,10472624.0,0.13,Listed,ART,0.13011690048980992
Asset-class_Australian_Shares_Index_Superannuation,Equity,Light & Wonder,,LNW AU,10387518.0,0.13,Listed,ART,0.12905950275137434
Asset-class_Australian_Shares_Index_Superannuation,Equity,Reece,,REH AU,10234488.0,0.13,Listed,ART,0.12715818467846773
Asset-class_Australian_Shares_Index_Superannuation,Equity,Ramelius Resources,,RMS AU,9451469.0,0.12,Listed,ART,0.11742958129266581
Asset-class_Australian_Shares_Index_Superannuation,Equity,Vault Minerals,,VAU AU,9414467.0,0.12,Listed,ART,0.11696985070824648
Asset-class_Australian_Shares_Index_Superannuation,Equity,Breville,,BRG AU,9075308.0,0.11,Listed,ART,0.11275597672086533
Asset-class_Australian_Shares_Index_Superannuation,Equity,Boss Energy,,BOE AU,8986231.0,0.11,Listed,ART,0.11164924137498347
Asset-class_Australian_Shares_Index_Superannuation,Equity,Insignia Financial,,IFL AU,8966172.0,0.11,Listed,ART,0.11140001874396711
Asset-class_Australian_Shares_Index_Superannuation,Equity,Beach Energy,,BPT AU,8861117.0,0.11,Listed,ART,0.11009476506724225
