Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Super_Fund,Weighting_Percentage_Clean
Lifecycle_High_Growth_Pool_Superannuation,Equity,Qt Oyj,,QTCOM FH,46768.0,0.0,Listed,ART,6.819363430980949e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Megastudyedu,,215200 KS,46698.0,0.0,Listed,ART,6.809156549348878e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Amicus Therapeutics,,FOLD US,46594.0,0.0,Listed,ART,6.793992039495517e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Cancom Se,,COK GR,46540.0,0.0,Listed,ART,6.786118159379348e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Ssab Ab,,SSABB SS,46195.0,0.0,Listed,ART,6.735812814192715e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,John Wood,,WG LN,46114.0,0.0,Listed,ART,6.724001994018464e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Takashimaya,,8233 JP,46097.0,0.0,Listed,ART,6.721523179907817e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Cembra Money Bank Ag,,CMBN SW,46023.0,0.0,Listed,ART,6.710733047896771e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Great Lakes Dredge & Dock,,GLDD US,46008.0,0.0,Listed,ART,6.708545858975613e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Radico Khaitan,,RDCK IN,45977.0,0.0,Listed,ART,6.704025668538553e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Hamilton Insurance,,HG US,45963.0,0.0,Listed,ART,6.70198429221214e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Ecopro Materials,,450080 KS,45839.0,0.0,Listed,ART,6.6839035304639e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Kuala Lumpur Kepong Bhd,,KLK MK,45809.0,0.0,Listed,ART,6.679529152621585e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Sonos,,SONO US,45640.0,0.0,Listed,ART,6.654886824109871e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Luzhou Laojiao,,000568 C2,45617.0,0.0,Listed,ART,6.651533134430763e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Mapfre Sa,,MAP SM,45295.0,0.0,Listed,ART,6.604581478923239e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Bure Equity Ab,,BURE SS,45293.0,0.0,Listed,ART,6.604289853733751e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Concentra Parent,,CON US,45224.0,0.0,Listed,ART,6.594228784696424e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Triumph Financial,,TFIN US,45216.0,0.0,Listed,ART,6.593062283938475e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Verint Systems,,VRNT US,45134.0,0.0,Listed,ART,6.581105651169478e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Kruk Sa,,KRU PW,44709.0,0.0,Listed,ART,6.519135298403335e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,S&T Bancorp,,STBA US,44630.0,0.0,Listed,ART,6.50761610341857e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Volkswagen Ag,,VWAGY US,44566.0,0.0,Listed,ART,6.498284097354964e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Foshan Haitian Flavouring & Food,,603288 C1,44553.0,0.0,Listed,ART,6.496388533623294e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Q Technology,,1478 HK,44401.0,0.0,Listed,ART,6.474225019222226e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Interface,,TILE US,44355.0,0.0,Listed,ART,6.467517639864009e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Dyne Therapeutics,,DYN US,44313.0,0.0,Listed,ART,6.461393510884767e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Aurinia Pharmaceuticals,,AUPH US,44234.0,0.0,Listed,ART,6.449874315900001e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Koh Young Technology,,098460 KS,44021.0,0.0,Listed,ART,6.418816233219558e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Pacira Biosciences,,PCRX US,43872.0,0.0,Listed,ART,6.397090156602724e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Arkema Sa,,AKE FP,43786.0,0.0,Listed,ART,6.384550273454751e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Hite Jinro,,000080 KS,43687.0,0.0,Listed,ART,6.370114826575108e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Sangetsu,,8130 JP,43589.0,0.0,Listed,ART,6.35582519229021e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Migdal Insurance & Financial,,MGDL IT,43514.0,0.0,Listed,ART,6.34488924768442e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,China Airlines,,2610 TT,43495.0,0.0,Listed,ART,6.342118808384287e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Grand City Properties Sa,,GYC GR,43404.0,0.0,Listed,ART,6.328849862262596e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Digitalbridge,,DBRG US,43352.0,0.0,Listed,ART,6.321267607335915e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Kec International,,KECI IN,43303.0,0.0,Listed,ART,6.314122790193467e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Universal Robina,,URC PM,43164.0,0.0,Listed,ART,6.293854839524069e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,G-Iii Apparel,,GIII US,43094.0,0.0,Listed,ART,6.283647957891999e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Oddity Tech,,ODD US,43083.0,0.0,Listed,ART,6.282044019349816e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Upwork,,UPWK US,42985.0,0.0,Listed,ART,6.267754385064918e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Dynavax Technologies,,DVAX US,42871.0,0.0,Listed,ART,6.251131749264117e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Ioi Bhd,,IOI MK,42461.0,0.0,Listed,ART,6.191348585419134e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Eclat Textile,,1476 TT,42425.0,0.0,Listed,ART,6.186099332008354e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Sanshin Electronics,,8150 JP,42275.0,0.0,Listed,ART,6.164227442796775e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Evotec Se,,EVT GR,42190.0,0.0,Listed,ART,6.151833372243547e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Gni,,2160 JP,42094.0,0.0,Listed,ART,6.137835363148136e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Empresas Cmpc Sa,,CMPC CI,42048.0,0.0,Listed,ART,6.131127983789919e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Juventus Football Club Spa,,JUVE IM,41961.0,0.0,Listed,ART,6.118442288047203e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,K&S Ag,,SDF GR,41915.0,0.0,Listed,ART,6.111734908688985e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Finolex Cables,,FNXC IN,41902.0,0.0,Listed,ART,6.109839344957315e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Hokkoku Financial,,7381 JP,41738.0,0.0,Listed,ART,6.0859260794193215e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Ckd,,6407 JP,41464.0,0.0,Listed,ART,6.045973428459503e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,China State Construction Engineering,,601668 C1,41340.0,0.0,Listed,ART,6.027892666711264e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Pediatrix Medical,,MD US,41338.0,0.0,Listed,ART,6.0276010415217764e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Zensar Technologies,,ZENT IN,41293.0,0.0,Listed,ART,6.0210394747583025e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Feng Tay Enterprise,,9910 TT,41142.0,0.0,Listed,ART,5.99902177295198e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Engie Energia Chile Sa,,ECL CI,40880.0,0.0,Listed,ART,5.960818873129087e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Cosmoam&T,,005070 KS,40656.0,0.0,Listed,ART,5.928156851906463e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Galapagos Nv,,GLPG NA,40602.0,0.0,Listed,ART,5.920282971790294e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Duerr Ag,,DUE GR,40567.0,0.0,Listed,ART,5.915179530974259e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Bts Pcl,,BTSR TB,40333.0,0.0,Listed,ART,5.881059383804195e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Uno Minda,,UNOMINDA IN,40301.0,0.0,Listed,ART,5.876393380772391e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Tianneng Power International,,819 HK,39958.0,0.0,Listed,ART,5.826379660775247e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Aar,,AIR US,39777.0,0.0,Listed,ART,5.799987581126608e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Softwareone Ag,,SWON SW,39693.0,0.0,Listed,ART,5.787739323168123e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Hisense Home Appliances,,000921 C2,39537.0,0.0,Listed,ART,5.764992558388081e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,First Majestic Silver,,AG US,39512.0,0.0,Listed,ART,5.761347243519484e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Gulfport Energy,,GPOR US,39424.0,0.0,Listed,ART,5.748515735182024e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Basic-Fit Nv,,BFIT NA,39413.0,0.0,Listed,ART,5.7469117966398424e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Jollibee Foods,,JFC PM,39160.0,0.0,Listed,ART,5.710021210169645e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Mips Ab,,MIPS SS,38887.0,0.0,Listed,ART,5.6702143718045704e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Chinasoft International,,354 HK,38757.0,0.0,Listed,ART,5.6512587344878676e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Dr Martens,,DOCS LN,38699.0,0.0,Listed,ART,5.642801603992724e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Hyosung Heavy Industries,,298040 KS,38698.0,0.0,Listed,ART,5.6426557913979804e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Daetwyler Ag,,DAE SW,38560.0,0.0,Listed,ART,5.622533653323328e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Galaxy Surfactants,,GALSURF IN,38527.0,0.0,Listed,ART,5.6177218376967796e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Irb Infrastructure Developers,,IRB IN,38309.0,0.0,Listed,ART,5.585934692042617e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,K92 Mining,,KNT CN,38187.0,0.0,Listed,ART,5.568145555483867e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Ganfeng Lithium,,002460 C2,38181.0,0.0,Listed,ART,5.5672706799154027e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Man Wah,,1999 HK,38083.0,0.0,Listed,ART,5.552981045630506e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Nmi,,NMIH US,37760.0,0.0,Listed,ART,5.505883577528237e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Sprout Social,,SPT US,37623.0,0.0,Listed,ART,5.485907252048328e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Voestalpine Ag,,VOE AV,37185.0,0.0,Listed,ART,5.4220413355505165e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Grupo Comercial Chedraui Sa De Cv,,CHDRAUIB MM,37122.0,0.0,Listed,ART,5.4128551420816534e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Tripod Technology,,3044 TT,37062.0,0.0,Listed,ART,5.404106386397022e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Kghm Polska Miedz Sa,,KGH PW,37059.0,0.0,Listed,ART,5.40366894861279e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Algoma Steel,,ASTL US,37055.0,0.0,Listed,ART,5.4030856982338144e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Maxlinear,,MXL US,37040.0,0.0,Listed,ART,5.4008985093126566e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Constellium Se,,CSTM US,36979.0,0.0,Listed,ART,5.392003941033281e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Jenoptik Ag,,JEN GR,36898.0,0.0,Listed,ART,5.380193120859028e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Focus Media Information Technology,,002027 C2,36740.0,0.0,Listed,ART,5.357154730889498e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Talaat Moustafa,,TMGH EY,36643.0,0.0,Listed,ART,5.3430109091993436e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Descartes Systems,,DSGX US,36504.0,0.0,Listed,ART,5.3227429585299466e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Cettire,,CTT AU,36336.0,0.0,Listed,ART,5.298246442612977e-05
Lifecycle_High_Growth_Pool_Superannuation,Equity,Iflytek,,002230 C2,36330.0,0.0,Listed,ART,5.297371567044514e-05
