PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCHGSC] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,COLES GROUP LTD.,-,COL AU,-,,"425,689","$8,871,354",0.95%,
LISTED EQUITY,-,-,-,-,"BROADCOM, INC.",-,AVGO US,-,,"17,002","$7,151,256",0.76%,
LISTED EQUITY,-,-,-,-,BRAMBLES LTD.,-,BXB AU,-,,"295,769","$6,926,924",0.74%,
LISTED EQUITY,-,-,-,-,ANZ GROUP HOLDINGS LTD.,-,ANZ AU,-,,"237,405","$6,922,732",0.74%,
LISTED EQUITY,-,-,-,-,WESFARMERS LTD.,-,WES AU,-,,"75,074","$6,362,472",0.68%,
LISTED EQUITY,-,-,-,-,"NETFLIX, INC.",-,NFLX US,-,,"2,996","$6,123,225",0.65%,
LISTED EQUITY,-,-,-,-,"VISA, INC.",-,V US,-,,"11,073","$5,999,305",0.64%,
LISTED EQUITY,-,-,-,-,"META PLATFORMS, INC.",-,META US,-,,"5,035","$5,671,063",0.61%,
LISTED EQUITY,-,-,-,-,FORTESCUE LTD.,-,FMG AU,-,,"331,279","$5,061,940",0.54%,
LISTED EQUITY,-,-,-,-,SUNCORP GROUP LTD.,-,SUN AU,-,,"224,100","$4,842,800",0.52%,
LISTED EQUITY,-,-,-,-,QBE INSURANCE GROUP LTD.,-,QBE AU,-,,"205,806","$4,813,799",0.51%,
LISTED EQUITY,-,-,-,-,TELSTRA GROUP LTD.,-,TLS AU,-,,"985,726","$4,770,917",0.51%,
LISTED EQUITY,-,-,-,-,MACQUARIE GROUP LTD.,-,MQG AU,-,,"19,720","$4,510,511",0.48%,
LISTED EQUITY,-,-,-,-,ELI LILLY & CO.,-,LLY US,-,,"3,764","$4,477,315",0.48%,
LISTED EQUITY,-,-,-,-,TECHNOLOGY ONE LTD.,-,TNE AU,-,,"105,228","$4,315,415",0.46%,
LISTED EQUITY,-,-,-,-,INSURANCE AUSTRALIA GROUP LTD.,-,IAG AU,-,,"472,762","$4,269,044",0.46%,
LISTED EQUITY,-,-,-,-,SANDFIRE RESOURCES LTD.,-,SFR AU,-,,"378,519","$4,246,988",0.45%,
LISTED EQUITY,-,-,-,-,JPMORGAN CHASE & CO.,-,JPM US,-,,"9,573","$4,235,013",0.45%,
LISTED EQUITY,-,-,-,-,"MASTERCARD, INC.",-,MA US,-,,"4,368","$3,745,626",0.40%,
LISTED EQUITY,-,-,-,-,XERO LTD.,-,XRO AU,-,,"20,621","$3,707,622",0.40%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOG US,-,,"13,592","$3,679,008",0.39%,
LISTED EQUITY,-,-,-,-,ASML HOLDING NV,-,ASML NA,-,,"2,858","$3,468,296",0.37%,
LISTED EQUITY,-,-,-,-,PRO MEDICUS LTD.,-,PME AU,-,,"11,974","$3,413,515",0.37%,
LISTED EQUITY,-,-,-,-,"RESMED, INC.",-,RMD AU,-,,"84,980","$3,343,965",0.36%,
LISTED EQUITY,-,-,-,-,JB HI-FI LTD.,-,JBH AU,-,,"28,889","$3,187,898",0.34%,
LISTED EQUITY,-,-,-,-,QANTAS AIRWAYS LTD.,-,QAN AU,-,,"290,146","$3,116,170",0.33%,
LISTED EQUITY,-,-,-,-,"HOME DEPOT, INC.",-,HD US,-,,"5,551","$3,105,111",0.33%,
LISTED EQUITY,-,-,-,-,BANK OF AMERICA CORP.,-,BAC US,-,,"42,612","$3,076,844",0.33%,
LISTED EQUITY,-,-,-,-,WALT DISNEY CO.,-,DIS US,-,,"15,789","$2,987,736",0.32%,
LISTED EQUITY,-,-,-,-,IGO LTD.,-,IGO AU,-,,"691,979","$2,885,552",0.31%,
LISTED EQUITY,-,-,-,-,PERSEUS MINING LTD.,-,PRU AU,-,,"839,638","$2,854,771",0.31%,
LISTED EQUITY,-,-,-,-,"VERIZON COMMUNICATIONS, INC.",-,VZ US,-,,"40,390","$2,666,753",0.29%,
LISTED EQUITY,-,-,-,-,CAPITAL ONE FINANCIAL CORP.,-,COF US,-,,"8,016","$2,602,304",0.28%,
LISTED EQUITY,-,-,-,-,MEDIBANK PVT LTD.,-,MPL AU,-,,"476,301","$2,405,320",0.26%,
LISTED EQUITY,-,-,-,-,EVOLUTION MINING LTD.,-,EVN AU,-,,"308,576","$2,403,810",0.26%,
LISTED EQUITY,-,-,-,-,"IDEXX LABORATORIES, INC.",-,IDXX US,-,,"2,934","$2,400,642",0.26%,
LISTED EQUITY,-,-,-,-,REA GROUP LTD.,-,REA AU,-,,"9,922","$2,386,066",0.26%,
LISTED EQUITY,-,-,-,-,DEUTSCHE TELEKOM AG,-,DTE GR,-,,"42,921","$2,380,896",0.25%,
LISTED EQUITY,-,-,-,-,NOVARTIS AG,-,NOVN SW,-,,"12,908","$2,379,719",0.25%,
LISTED EQUITY,-,-,-,-,HITACHI LTD.,-,6501 JP,-,,"52,082","$2,313,534",0.25%,
LISTED EQUITY,-,-,-,-,FISHER & PAYKEL HEALTHCARE CORP. LTD.,-,FPH AU,-,,"68,686","$2,309,917",0.25%,
LISTED EQUITY,-,-,-,-,DETERRA ROYALTIES LTD.,-,DRR AU,-,,"612,507","$2,303,025",0.25%,
LISTED EQUITY,-,-,-,-,WOOLWORTHS GROUP LTD.,-,WOW AU,-,,"73,052","$2,272,655",0.24%,
LISTED EQUITY,-,-,-,-,"F5, INC.",-,FFIV US,-,,"4,976","$2,234,769",0.24%,
LISTED EQUITY,-,-,-,-,SAP SE,-,SAP GR,-,,"4,796","$2,217,706",0.24%,
LISTED EQUITY,-,-,-,-,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",-,8316 JP,-,,"56,957","$2,186,544",0.23%,
LISTED EQUITY,-,-,-,-,"MSCI, INC.",-,MSCI US,-,,"2,416","$2,125,987",0.23%,
LISTED EQUITY,-,-,-,-,"SALESFORCE, INC.",-,CRM US,-,,"5,061","$2,106,014",0.23%,
LISTED EQUITY,-,-,-,-,PRYSMIAN SPA,-,PRY IM,-,,"19,431","$2,089,683",0.22%,
LISTED EQUITY,-,-,-,-,"ABBVIE, INC.",-,ABBV US,-,,"7,288","$2,064,240",0.22%,
LISTED EQUITY,-,-,-,-,CHALLENGER LTD.,-,CGF AU,-,,"254,974","$2,060,189",0.22%,
LISTED EQUITY,-,-,-,-,AMCOR PLC,-,AMC AU,-,,"144,428","$2,050,875",0.22%,
LISTED EQUITY,-,-,-,-,"TJX COS., INC.",-,TJX US,-,,"10,876","$2,049,402",0.22%,
LISTED EQUITY,-,-,-,-,NORTHERN STAR RESOURCES LTD.,-,NST AU,-,,"109,963","$2,039,806",0.22%,
LISTED EQUITY,-,-,-,-,UNICREDIT SPA,-,UCG IM,-,,"19,556","$1,993,412",0.21%,
LISTED EQUITY,-,-,-,-,TRANE TECHNOLOGIES PLC,-,TT US,-,,"2,915","$1,945,584",0.21%,
LISTED EQUITY,-,-,-,-,BOSTON SCIENTIFIC CORP.,-,BSX US,-,,"11,812","$1,936,061",0.21%,
LISTED EQUITY,-,-,-,-,"BOOKING HOLDINGS, INC.",-,BKNG US,-,,215,"$1,903,491",0.20%,
LISTED EQUITY,-,-,-,-,LAM RESEARCH CORP.,-,LRCX US,-,,"12,742","$1,892,624",0.20%,
LISTED EQUITY,-,-,-,-,"PALO ALTO NETWORKS, INC.",-,PANW US,-,,"5,899","$1,842,254",0.20%,
LISTED EQUITY,-,-,-,-,"QUALCOMM, INC.",-,QCOM US,-,,"7,382","$1,793,771",0.19%,
LISTED EQUITY,-,-,-,-,"ZOETIS, INC.",-,ZTS US,-,,"7,486","$1,781,467",0.19%,
LISTED EQUITY,-,-,-,-,"PFIZER, INC.",-,PFE US,-,,"48,069","$1,777,968",0.19%,
LISTED EQUITY,-,-,-,-,"GENERAL MILLS, INC.",-,GIS US,-,,"22,392","$1,770,282",0.19%,
LISTED EQUITY,-,-,-,-,ROCHE HOLDING AG,-,ROG SW,-,,"3,570","$1,768,474",0.19%,
LISTED EQUITY,-,-,-,-,AIA GROUP LTD.,-,1299 HK,-,,"128,775","$1,762,213",0.19%,
LISTED EQUITY,-,-,-,-,INTESA SANPAOLO SPA,-,ISP IM,-,,"200,766","$1,759,024",0.19%,
LISTED EQUITY,-,-,-,-,"CITIGROUP, INC.",-,C US,-,,"13,535","$1,757,959",0.19%,
LISTED EQUITY,-,-,-,-,"TRAVELERS COS., INC.",-,TRV US,-,,"4,303","$1,756,601",0.19%,
LISTED EQUITY,-,-,-,-,PROCTER & GAMBLE CO.,-,PG US,-,,"7,219","$1,754,984",0.19%,
LISTED EQUITY,-,-,-,-,FLEX LTD.,-,FLEX US,-,,"22,909","$1,745,026",0.19%,
LISTED EQUITY,-,-,-,-,ASTRAZENECA PLC,-,AZN LN,-,,"8,197","$1,734,525",0.19%,
LISTED EQUITY,-,-,-,-,AMP LTD.,-,AMP AU,-,,"1,345,777","$1,695,680",0.18%,
LISTED EQUITY,-,-,-,-,SIMS LTD.,-,SGM AU,-,,"109,822","$1,684,664",0.18%,
LISTED EQUITY,-,-,-,-,COLGATE-PALMOLIVE CO.,-,CL US,-,,"11,915","$1,652,604",0.18%,
LISTED EQUITY,-,-,-,-,CINTAS CORP.,-,CTAS US,-,,"4,852","$1,649,985",0.18%,
LISTED EQUITY,-,-,-,-,"HUDBAY MINERALS, INC.",-,HBM CN,-,,"101,850","$1,645,817",0.18%,
LISTED EQUITY,-,-,-,-,REGIS RESOURCES LTD.,-,RRL AU,-,,"373,613","$1,640,161",0.18%,
LISTED EQUITY,-,-,-,-,ALS LTD.,-,ALQ AU,-,,"95,905","$1,639,969",0.18%,
LISTED EQUITY,-,-,-,-,SCHNEIDER ELECTRIC SE,-,SU FP,-,,"4,018","$1,625,143",0.17%,
LISTED EQUITY,-,-,-,-,BANCO BILBAO VIZCAYA ARGENTARIA SA,-,BBVA SM,-,,"69,430","$1,623,543",0.17%,
LISTED EQUITY,-,-,-,-,GEBERIT AG,-,GEBN SW,-,,"1,328","$1,588,360",0.17%,
LISTED EQUITY,-,-,-,-,SINGAPORE EXCHANGE LTD.,-,SGX SP,-,,"89,059","$1,587,660",0.17%,
LISTED EQUITY,-,-,-,-,"ELECTRONIC ARTS, INC.",-,EA US,-,,"6,463","$1,574,899",0.17%,
