PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCBGRO] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
FIXED INCOME,INTERNALLY,-,SCENTRE GROUP TRUST 1,-,-,-,-,-,,,"$2,813,587",0.01%,
FIXED INCOME,INTERNALLY,-,INTER-AMERICAN INVESTMENT CORP.,-,-,-,-,-,,,"$2,574,267",0.01%,
FIXED INCOME,INTERNALLY,-,BANCO SANTANDER SA,-,-,-,-,-,,,"$2,464,881",0.01%,
FIXED INCOME,INTERNALLY,-,ASIAN INFRASTRUCTURE INVESTMENT BANK,-,-,-,-,-,,,"$2,335,524",0.01%,
FIXED INCOME,INTERNALLY,-,NEWCASTLE GREATER MUTUAL GROUP LTD.,-,-,-,-,-,,,"$2,269,408",0.01%,
FIXED INCOME,INTERNALLY,-,FLEXI TRUST,-,-,-,-,-,,,"$2,180,442",0.01%,
FIXED INCOME,INTERNALLY,-,BARTON TRUST,-,-,-,-,-,,,"$2,087,801",0.01%,
FIXED INCOME,INTERNALLY,-,RWH FINANCE PTY LTD,-,-,-,-,-,,,"$2,001,371",0.01%,
FIXED INCOME,INTERNALLY,-,PEPPER RESIDENTIAL SECURITIES TRUST,-,-,-,-,-,,,"$1,959,336",0.01%,
FIXED INCOME,INTERNALLY,-,EUROPEAN INVESTMENT BANK,-,-,-,-,-,,,"$1,925,124",0.01%,
FIXED INCOME,INTERNALLY,-,WOOLWORTHS GROUP LTD.,-,-,-,-,-,,,"$1,900,913",0.01%,
FIXED INCOME,INTERNALLY,-,HERITAGE TRUST,-,-,-,-,-,,,"$1,724,273",0.01%,
