PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCBALINDX] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,BOSTON SCIENTIFIC CORP.,-,BSX US,-,,"2,555","$418,849",0.10%,
LISTED EQUITY,-,-,-,-,ALLIANZ SE,-,ALV GR,-,,676,"$417,175",0.10%,
LISTED EQUITY,-,-,-,-,PROGRESSIVE CORP.,-,PGR US,-,,"1,018","$414,761",0.10%,
LISTED EQUITY,-,-,-,-,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",-,8306 JP,-,,"19,723","$413,176",0.10%,
LISTED EQUITY,-,-,-,-,SEEK LTD.,-,SEK AU,-,,"17,046","$409,968",0.10%,
LISTED EQUITY,-,-,-,-,"THERMO FISHER SCIENTIFIC, INC.",-,TMO US,-,,660,"$408,782",0.10%,
LISTED EQUITY,-,-,-,-,"BLACKROCK, INC.",-,BLK US,-,,251,"$401,274",0.10%,
LISTED EQUITY,-,-,-,-,"APPLIED MATERIALS, INC.",-,AMAT US,-,,"1,436","$401,141",0.10%,
LISTED EQUITY,-,-,-,-,"AMGEN, INC.",-,AMGN US,-,,941,"$400,646",0.10%,
LISTED EQUITY,-,-,-,-,ALS LTD.,-,ALQ AU,-,,"23,252","$397,616",0.10%,
LISTED EQUITY,-,-,-,-,"HONEYWELL INTERNATIONAL, INC.",-,HON US,-,,"1,098","$390,417",0.09%,
LISTED EQUITY,-,-,-,-,SCHNEIDER ELECTRIC SE,-,SU FP,-,,934,"$377,744",0.09%,
LISTED EQUITY,-,-,-,-,LVMH MOET HENNESSY LOUIS VUITTON SE,-,MC FP,-,,470,"$374,683",0.09%,
LISTED EQUITY,-,-,-,-,STRYKER CORP.,-,SYK US,-,,619,"$373,917",0.09%,
LISTED EQUITY,-,-,-,-,"GE VERNOVA, INC.",-,GEV US,-,,463,"$373,854",0.09%,
LISTED EQUITY,-,-,-,-,"PFIZER, INC.",-,PFE US,-,,"10,058","$372,020",0.09%,
LISTED EQUITY,-,-,-,-,"SHOPIFY, INC.",-,SHOP CN,-,,"2,114","$371,290",0.09%,
LISTED EQUITY,-,-,-,-,"MICRON TECHNOLOGY, INC.",-,MU US,-,,"1,965","$369,441",0.09%,
LISTED EQUITY,-,-,-,-,"GILEAD SCIENCES, INC.",-,GILD US,-,,"2,173","$367,509",0.09%,
LISTED EQUITY,-,-,-,-,"TJX COS., INC.",-,TJX US,-,,"1,947","$367,018",0.09%,
LISTED EQUITY,-,-,-,-,UNION PACIFIC CORP.,-,UNP US,-,,"1,037","$363,994",0.09%,
LISTED EQUITY,-,-,-,-,EATON CORP. PLC,-,ETN US,-,,668,"$363,763",0.09%,
LISTED EQUITY,-,-,-,-,HITACHI LTD.,-,6501 JP,-,,"8,145","$361,817",0.09%,
LISTED EQUITY,-,-,-,-,"PALO ALTO NETWORKS, INC.",-,PANW US,-,,"1,143","$356,684",0.09%,
LISTED EQUITY,-,-,-,-,COMCAST CORP.,-,CMCSA US,-,,"6,512","$354,670",0.09%,
LISTED EQUITY,-,-,-,-,CAPITAL ONE FINANCIAL CORP.,-,COF US,-,,"1,086","$352,633",0.08%,
LISTED EQUITY,-,-,-,-,LYNAS RARE EARTHS LTD.,-,LYC AU,-,,"40,948","$352,565",0.08%,
LISTED EQUITY,-,-,-,-,HUB24 LTD.,-,HUB AU,-,,"3,924","$349,873",0.08%,
LISTED EQUITY,-,-,-,-,BENDIGO & ADELAIDE BANK LTD.,-,BEN AU,-,,"27,573","$348,520",0.08%,
LISTED EQUITY,-,-,-,-,DEERE & CO.,-,DE US,-,,448,"$347,762",0.08%,
LISTED EQUITY,-,-,-,-,QUBE HOLDINGS LTD.,-,QUB AU,-,,"81,067","$346,967",0.08%,
LISTED EQUITY,-,-,-,-,RAMSAY HEALTH CARE LTD.,-,RHC AU,-,,"9,439","$346,325",0.08%,
LISTED EQUITY,-,-,-,-,DANAHER CORP.,-,DHR US,-,,"1,130","$340,692",0.08%,
LISTED EQUITY,-,-,-,-,"CROWDSTRIKE HOLDINGS, INC.",-,CRWD US,-,,437,"$339,977",0.08%,
LISTED EQUITY,-,-,-,-,AIRBUS SE,-,AIR FP,-,,"1,068","$339,137",0.08%,
LISTED EQUITY,-,-,-,-,BANCO SANTANDER SA,-,SAN SM,-,,"26,671","$335,698",0.08%,
LISTED EQUITY,-,-,-,-,TORONTO-DOMINION BANK,-,TD CN,-,,"2,980","$333,793",0.08%,
LISTED EQUITY,-,-,-,-,"AUTOMATIC DATA PROCESSING, INC.",-,ADP US,-,,708,"$333,270",0.08%,
LISTED EQUITY,-,-,-,-,DEUTSCHE TELEKOM AG,-,DTE GR,-,,"5,935","$329,209",0.08%,
