PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCCPSTB] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
FIXED INCOME,INTERNALLY,-,LIGHT TRUST,-,-,-,-,-,,,"$2,862,096",0.14%,
FIXED INCOME,INTERNALLY,-,NATIONAL RMBS TRUST,-,-,-,-,-,,,"$2,728,383",0.13%,
FIXED INCOME,INTERNALLY,-,THE BANK OF NOVA SCOTIA,-,-,-,-,-,,,"$2,687,980",0.13%,
FIXED INCOME,INTERNALLY,-,ING BANK AUSTRALIA LTD.,-,-,-,-,-,,,"$2,601,701",0.13%,
FIXED INCOME,INTERNALLY,-,OVERSEA-CHINESE BANKING CORP. LTD.,-,-,-,-,-,,,"$2,595,208",0.13%,
FIXED INCOME,INTERNALLY,-,BANK OF QUEENSLAND LTD.,-,-,-,-,-,,,"$2,444,467",0.12%,
FIXED INCOME,INTERNALLY,-,BPCE SA,-,-,-,-,-,,,"$2,405,658",0.12%,
FIXED INCOME,INTERNALLY,-,NEW SOUTH WALES TREASURY CORP.,-,-,-,-,-,,,"$2,321,107",0.11%,
FIXED INCOME,INTERNALLY,-,HARVEY TRUST,-,-,-,-,-,,,"$2,185,508",0.11%,
FIXED INCOME,INTERNALLY,-,ROYAL BANK OF CANADA,-,-,-,-,-,,,"$2,168,659",0.11%,
FIXED INCOME,INTERNALLY,-,TORRENS TRUST,-,-,-,-,-,,,"$2,079,707",0.10%,
FIXED INCOME,INTERNALLY,-,TREASURY CORP. OF VICTORIA,-,-,-,-,-,,,"$2,055,464",0.10%,
FIXED INCOME,INTERNALLY,-,RESIMAC,-,-,-,-,-,,,"$2,047,275",0.10%,
FIXED INCOME,INTERNALLY,-,BNP PARIBAS SA,-,-,-,-,-,,,"$1,855,334",0.09%,
FIXED INCOME,INTERNALLY,-,KIWIBANK LTD.,-,-,-,-,-,,,"$1,710,886",0.08%,
FIXED INCOME,INTERNALLY,-,QUEENSLAND TREASURY CORP.,-,-,-,-,-,,,"$1,708,437",0.08%,
FIXED INCOME,INTERNALLY,-,AFG,-,-,-,-,-,,,"$1,662,546",0.08%,
FIXED INCOME,INTERNALLY,-,DRIVER AUSTRALIA,-,-,-,-,-,,,"$1,635,963",0.08%,
FIXED INCOME,INTERNALLY,-,MIZUHO BANK LTD.,-,-,-,-,-,,,"$1,573,092",0.08%,
FIXED INCOME,INTERNALLY,-,PROGRESS TRUST,-,-,-,-,-,,,"$1,520,112",0.07%,
FIXED INCOME,INTERNALLY,-,BANK OF MONTREAL,-,-,-,-,-,,,"$1,205,660",0.06%,
FIXED INCOME,INTERNALLY,-,SALUTE TRUST,-,-,-,-,-,,,"$1,176,883",0.06%,
FIXED INCOME,INTERNALLY,-,PANORAMA AUTO TRUST,-,-,-,-,-,,,"$1,124,720",0.06%,
