PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCGROW] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
FIXED INCOME,INTERNALLY,-,JEM SOUTHBANK PTY LTD,-,-,-,-,-,,,"$86,851",0.00%,
FIXED INCOME,INTERNALLY,-,BROADCOM CORP.,-,-,-,-,-,,,"$58,350",0.00%,
FIXED INCOME,INTERNALLY,-,"BAXTER INTERNATIONAL, INC.",-,-,-,-,-,,,"$52,085",0.00%,
FIXED INCOME,INTERNALLY,-,KANSAS CITY SOUTHERN RAILWAY CO.,-,-,-,-,-,,,"$48,284",0.00%,
FIXED INCOME,INTERNALLY,-,AXIOM EDUCATION PTY LTD,-,-,-,-,-,,,"$26,521",0.00%,
FIXED INCOME,INTERNALLY,-,MPC FUNDING LTD.,-,-,-,-,-,,,"$8,502",0.00%,
FIXED INCOME,INTERNALLY,-,"LEHMAN BROTHERS HOLDINGS, INC.",-,-,-,-,-,,,$69,0.00%,
FIXED INCOME,INTERNALLY,-,GSR MORTGAGE LOAN TRUST,-,-,-,-,-,,,$30,0.00%,
FIXED INCOME,INTERNALLY,-,HOME EQUITY ASSET TRUST,-,-,-,-,-,,,$9,0.00%,
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,"$1,166,030,129.00",4.60%,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ANCORA BIDCO B PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ANDANTE FINANCE COMPANY PTY LIMITED,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,APOG BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,AUSTRALIAN SALES FINANCE AND CREDIT CARDS TRUST NO. 3,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,BLANALKO PTY LTD AS TRUSTEE FOR THE BLANALKO SCT PROPERTY TRUST,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CIRRUS HOLDINGS 2 PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CREDABL WAREHOUSE TRUST NO.1,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CREDABL WAREHOUSE TRUST NO.2,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,CX BIDCO PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,DBG CONSOLIDATED HOLDINGS PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,DEVICE TECHNOLOGIES AUSTRALIA PTY LTD,-,-,-,-,-,,,,,
FIXED INCOME (PRIVATE DEBT),INTERNALLY,-,ENWERD PTY LTD AS TRUSTEE FOR THE N & W WERDIGER FAMILY TRUST,-,-,-,-,-,,,,,
