PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCSOCCN] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,NATIONAL AUSTRALIA BANK LTD.,-,NAB AU,-,,"569,492","$22,415,192",0.82%,
LISTED EQUITY,-,-,-,-,COLES GROUP LTD.,-,COL AU,-,,"1,055,029","$21,986,799",0.81%,
LISTED EQUITY,-,-,-,-,"BROADCOM, INC.",-,AVGO US,-,,"42,392","$17,830,576",0.66%,
LISTED EQUITY,-,-,-,-,BRAMBLES LTD.,-,BXB AU,-,,"733,037","$17,167,717",0.63%,
LISTED EQUITY,-,-,-,-,ANZ GROUP HOLDINGS LTD.,-,ANZ AU,-,,"588,386","$17,157,324",0.63%,
LISTED EQUITY,-,-,-,-,WESFARMERS LTD.,-,WES AU,-,,"186,063","$15,768,777",0.58%,
LISTED EQUITY,-,-,-,-,"NETFLIX, INC.",-,NFLX US,-,,"7,471","$15,267,335",0.56%,
LISTED EQUITY,-,-,-,-,"VISA, INC.",-,V US,-,,"27,610","$14,958,359",0.55%,
LISTED EQUITY,-,-,-,-,"META PLATFORMS, INC.",-,META US,-,,"12,555","$14,139,938",0.52%,
LISTED EQUITY,-,-,-,-,FORTESCUE LTD.,-,FMG AU,-,,"821,042","$12,545,531",0.46%,
LISTED EQUITY,-,-,-,-,SUNCORP GROUP LTD.,-,SUN AU,-,,"555,410","$12,002,412",0.44%,
LISTED EQUITY,-,-,-,-,QBE INSURANCE GROUP LTD.,-,QBE AU,-,,"510,070","$11,930,539",0.44%,
LISTED EQUITY,-,-,-,-,TELSTRA GROUP LTD.,-,TLS AU,-,,"2,443,029","$11,824,258",0.44%,
LISTED EQUITY,-,-,-,-,MACQUARIE GROUP LTD.,-,MQG AU,-,,"48,874","$11,178,868",0.41%,
LISTED EQUITY,-,-,-,-,ELI LILLY & CO.,-,LLY US,-,,"9,385","$11,163,510",0.41%,
LISTED EQUITY,-,-,-,-,TECHNOLOGY ONE LTD.,-,TNE AU,-,,"260,798","$10,695,342",0.39%,
LISTED EQUITY,-,-,-,-,INSURANCE AUSTRALIA GROUP LTD.,-,IAG AU,-,,"1,171,696","$10,580,416",0.39%,
LISTED EQUITY,-,-,-,-,JPMORGAN CHASE & CO.,-,JPM US,-,,"23,870","$10,559,366",0.39%,
LISTED EQUITY,-,-,-,-,SANDFIRE RESOURCES LTD.,-,SFR AU,-,,"938,124","$10,525,751",0.39%,
LISTED EQUITY,-,-,-,-,"MASTERCARD, INC.",-,MA US,-,,"10,892","$9,339,154",0.34%,
LISTED EQUITY,-,-,-,-,XERO LTD.,-,XRO AU,-,,"51,107","$9,188,985",0.34%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOG US,-,,"33,889","$9,173,051",0.34%,
