PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCIEQU] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
LISTED EQUITY,-,-,-,-,HERMES INTERNATIONAL SCA,-,RMS FP,-,,667,"$2,746,695",0.12%,
LISTED EQUITY,-,-,-,-,"KKR & CO., INC.",-,KKR US,-,,"13,524","$2,745,275",0.12%,
LISTED EQUITY,-,-,-,-,BANK OF MONTREAL,-,BMO CN,-,,"16,194","$2,732,829",0.12%,
LISTED EQUITY,-,-,-,-,AXA SA,-,CS FP,-,,"36,596","$2,731,465",0.12%,
LISTED EQUITY,-,-,-,-,INTESA SANPAOLO SPA,-,ISP IM,-,,"310,923","$2,724,169",0.12%,
LISTED EQUITY,-,-,-,-,"NIKE, INC.",-,NKE US,-,,"25,065","$2,717,095",0.12%,
LISTED EQUITY,-,-,-,-,RECRUIT HOLDINGS CO. LTD.,-,6098 JP,-,,"29,994","$2,704,336",0.11%,
LISTED EQUITY,-,-,-,-,MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFT AG IN MUENCHEN,-,MUV2 GR,-,,"2,727","$2,689,757",0.11%,
LISTED EQUITY,-,-,-,-,APPLOVIN CORP.,-,APP US,-,,"5,034","$2,688,871",0.11%,
LISTED EQUITY,-,-,-,-,GSK PLC,-,GSK LN,-,,"91,998","$2,673,943",0.11%,
