Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean
Equity,-,Bellevue Gold,780834.0,0.05,BGL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.05245550609089528
Equity,-,Fletcher Building,764075.0,0.05,FBU AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.051329656260358555
Equity,-,Nickel Industries,759144.0,0.05,NIC AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.05099839750301166
Equity,-,Domino'S Pizza Enterprises,758165.0,0.05,DMP AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.05093262943904034
Equity,-,Judo Capital,745173.0,0.05,JDO AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.050059842220331996
Equity,-,Perenti,740056.0,0.05,PRN AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04971608820261874
Equity,-,Develop Global,738848.0,0.05,DVP AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04963493618905657
Equity,-,Catalyst Metals,731689.0,0.05,CYL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04915400302259005
Equity,-,Nrw,725163.0,0.05,NWH AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04871559404866065
Equity,-,Elders,722163.0,0.05,ELD AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.048514057591138714
Equity,-,Resolute Mining,717945.0,0.05,RSG AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04823069733186287
Equity,-,Catapult International,694091.0,0.05,CAT AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.046628213779286755
Equity,-,Liontown Resources,691640.0,0.05,LTR AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04646355849349133
Equity,-,Iph,689974.0,0.05,IPH AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04635163858074748
Equity,-,Data#3,669436.0,0.04,DTL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04497191999255229
Equity,-,Mac Copper,668568.0,0.04,MAC AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04491360877750927
Equity,-,Regis Healthcare,661291.0,0.04,REG AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.044424748510380224
Equity,-,Siteminder,660032.0,0.04,SDR AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04434017037704018
Equity,-,Capstone Copper,659664.0,0.04,CSC AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04431544857158416
Equity,-,Nanosonics,647764.0,0.04,NAN AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.043516020623413795
Equity,-,Tuas,644785.0,0.04,TUA AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.043315894921094514
Equity,-,Amotiv,642124.0,0.04,AOV AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04313713208327255
Equity,-,News,639654.0,0.04,NWS AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.042971200399912826
Equity,-,Domain Australia,638171.0,0.04,DHG AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.04287157421107781
