HC SRI Defensive - Class A Option,,,,
HOSTPLUS,,,,
,,,,
Portfolio Holdings Information for Investment Option HC SRI Defensive - Class A Option - Assets,,,,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
FUTU HOLDINGS LTD-ADR,US36118L1061,6.98,"1,316",0.01%
GARMIN LTD COM CHF10.00,CH0114405324,4.36,"1,388",0.01%
GARTNER INC COM STK USD0.0005,US3666511072,1.19,733,0.00%
GE HEALTHCARE TECHNOLOG-W/I,US36266G1076,34.73,"3,926",0.02%
GEBERIT AG-REG CHF0.10(REGD) (POST SUBD),CH0030170408,3.86,"4,618",0.02%
GEN DIGITAL INC,US6687711084,101.22,"4,541",0.02%
GENERAL ELECTRIC CO,US3696043013,3.95,"1,550",0.01%
GENUINE PARTS CO COM,US3724601055,7.06,"1,307",0.01%
GILDAN ACTIVEWEAR INC COM NPV,CA3759161035,12.15,912,0.00%
GILEAD SCIENCES INC COM USD0.001,US3755581036,33.88,"5,732",0.03%
GLOBAL PAYMENTS INC COM NPV,US37940X1028,7.85,959,0.00%
GODADDY INC - CLASS A GDDY,US3802371076,10.14,"2,786",0.01%
GOLDMAN SACHS GROUP INC COM STK USD0.01,US38141G1040,6.07,"6,559",0.03%
GOODMAN GROUP,AU000000GMG2,"1,232.09","42,187",0.20%
GPT GROUP NPV (STAPLED SECURITIES),AU000000GPT8,"5,503.54","26,637",0.13%
GREAT-WEST LIFECO INC COM,CA39138C1068,75.45,"4,370",0.02%
HANG SENG BANK,HK0011000095,49.41,"1,130",0.01%
HARTFORD INSURANCE GROUP INC,US4165151048,33.97,"6,575",0.03%
HCA HEALTHCARE INC,US40412C1018,10.67,"6,237",0.03%
HEALTHPEAK PROPERTIES INC,US42250P1030,36.19,967,0.00%
HELIA GROUP LTD,AU0000251498,230.27,"1,296",0.01%
HENNES & MAURITZ AB-B SHS SER'B'NPV,SE0000106270,34.49,734,0.00%
HERMES INTERNATIONAL NPV,FR0000052292,0.4,"1,653",0.01%
HEWLETT PACKARD ENTERPRIS-WI HPE-W,US42824C1099,63.24,"1,973",0.01%
HIKMA PHARMACEUTICALS PLC,GB00B0LCW083,21.26,884,0.00%
HILTON WORLDWIDE HOLDINGS IN HLT-W,US43300A2033,2.55,"1,038",0.00%
HKT TRUST AND HKT LTD SHARE STAPLED UNIT,HK0000093390,725.73,"1,653",0.01%
HOLOGIC INC COM USD0.01,US4364401012,20.8,"2,068",0.01%
HOMECO DAILY NEEDS REIT,AU0000113136,"6,787.55","8,518",0.04%
HONG KONG EXCHANGES & CLEAR HKD1,HK0388045442,62.79,"5,112",0.02%
HONGKONG LAND HOLDINGS LTD HKHGF,BMG4587L1090,452.94,"3,988",0.02%
HOYA CORP NPV,JP3837800006,6.69,"1,213",0.01%
HP INC HPQ,US40434L1052,161.45,"6,026",0.03%
HUBBELL INC -CL B,US4435106079,4.52,"2,816",0.01%
HUBSPOT INC HUBS,US4435731009,2.3,"1,950",0.01%
HUMANA INC COM USD0.166,US4448591028,3.39,"1,263",0.01%
HYDRO ONE LTD H,CA4488112083,17.62,967,0.00%
IA FINANCIAL CORP INC,CA45075E1043,14.29,"2,385",0.01%
IDP EDUCATION LTD IEL,AU000000IEL5,"1,609.52","5,907",0.03%
ILUKA RESOURCES LIMITED NPV,AU000000ILU1,"3,840.71","14,595",0.07%
INDUSTRIA DE DISENO TEXTIL ITX,ES0148396007,22.39,"1,772",0.01%
INFINEON TECHNOLOGIES AG,DE0006231004,15.31,991,0.00%
ING GROEP NV-CVA,NL0011821202,91.4,"3,049",0.01%
INSULET CORP COM STK USD0.001,US45784P1012,1.69,812,0.00%
INTEL CORP,US4581401001,76.27,"2,607",0.01%
INTERACTIVE BROKERS GRO-CL A COM STK CLASS 'A' USD0.01,US45841N1072,29.4,"2,486",0.01%
INTERCONTINENTAL EXCHANGE IN INTERCONTINENTALEXCHANGE INC,US45866F1049,3.97,"1,111",0.01%
INTERNATIONAL PAPER CO COM USD1,US4601461035,45.66,"3,263",0.02%
INTESA SANPAOLO EUR0.52,IT0000072618,161.78,"1,417",0.01%
INTL BUSINESS MACHINES CORP COM USD0.20,US4592001014,21.47,"9,659",0.05%
INTUIT INC,US4612021034,3.87,"4,652",0.02%
INTUITIVE SURGICAL INC COM USD0.001,US46120E6023,9.44,"7,827",0.04%
INVESTOR AB-B SHS,SE0015811963,111.15,"4,978",0.02%
INVITATION HOMES INC,US46187W1071,89.03,"4,456",0.02%
IPH LTD IPH,AU000000IPH9,483.99,"2,217",0.01%
IPSEN EUR1,FR0010259150,8.22,"1,489",0.01%
IVANHOE MINES LTD-CL A IVN,CA46579R1047,215.42,"2,464",0.01%
JAMES HARDIE INDUSTRIES PLC,AU000000JHX1,312.45,"13,029",0.06%
JB HI-FI LTD NPV,AU000000JBH7,130.2,"14,368",0.07%
JOHNSON & JOHNSON COM STK USD1,US4781601046,33.1,"7,714",0.04%
KENVUE INC,US49177J1025,68.12,"2,176",0.01%
KEYCORP COM USD1,US4932671088,61.5,"1,635",0.01%
KIMBERLY-CLARK CORP COM USD1.25,US4943681035,8.51,"1,674",0.01%
KINGSPAN GROUP PLC ORD EUR0.13,IE0004927939,35.92,"4,771",0.02%
KLA-TENCOR CORPORATION COM USD0.001,US4824801009,3.58,"4,889",0.02%
KLEPIERRE EUR1.40,FR0000121964,244.15,"14,624",0.07%
KNORR-BREMSE AG,DE000KBX1006,17,"2,499",0.01%
KONINKLIJKE KPN NV KPN,NL0000009082,415.22,"3,076",0.01%
KYOWA KIRIN CO LTD,JP3256000005,39.12,"1,019",0.00%
LAM RESEARCH CORP,US5128073062,32.43,"4,816",0.02%
LEGRAND SA EUR4,FR0010307819,5.83,"1,185",0.01%
LENDLEASE GROUP,AU000000LLC3,367.75,"1,979",0.01%
LENNOX INTERNATIONAL INC COM USD0.01,US5261071071,1.09,950,0.00%
LIFE360 INC-CDI,AU0000045098,114.91,"3,698",0.02%
LINK REIT NPV,HK0823032773,139.48,"1,136",0.01%
LIONTOWN RESOURCES LTD,AU000000LTR4,"10,886.73","7,621",0.04%
LIVE NATION ENTERTAINMENT IN COM STK USD0.01,US5380341090,7.6,"1,755",0.01%
LKQ CORP COM USD0.01,US5018892084,14.73,832,0.00%
LONDON STOCK EXCHANGE GROUP ORD GBP0.06918604,GB00B0SWJX34,3.31,737,0.00%
LOVISA HOLDINGS LTD LOV,AU000000LOV7,74.02,"2,345",0.01%
LPL FINANCIAL HOLDINGS INC LPL FINANCIAL HOLDINGS INC,US50212V1008,7.31,"4,182",0.02%
LUNDIN MINING CORP COM NPV,CA5503721063,137.26,"2,198",0.01%
