HC SRI - Class A Option,,,,
HOSTPLUS,,,,
,,,,
Table 1 - Assets HC SRI - Class A Option - Assets,,,,
Portfolio Holdings Information for Investment Option HC SRI - Class A Option - Assets,,,,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
DANAHER CORP COM USD0.01,US2358511028,955.3,"287,952",0.05%
DANSKE BANK A/S DANSKE BANK A/S,DK0010274414,"1,906.56","118,231",0.02%
DATADOG INC - CLASS A DDOG,US23804L1035,"1,132.86","232,208",0.04%
DAVITA INC,US23918K1088,825.58,"179,452",0.03%
DEERE & CO COM USD1,US2441991054,326.31,"253,187",0.04%
DELL TECHNOLOGIES -C W/I,US24703L2025,"2,284.18","427,314",0.07%
DEMANT A/S,DK0060738599,"1,904.83","120,822",0.02%
DENSO CORP NPV,JP3551500006,"12,279.91","253,026",0.04%
DETERRA ROYALTIES LTD,AU0000107484,"241,474.69","907,945",0.14%
DEUTSCHE BANK AG-REGISTERED ORD NPV(REGD),DE0005140008,"3,749.12","169,025",0.03%
DEUTSCHE TELEKOM AG-REG DTE,DE0005557508,"9,812.97","544,354",0.09%
DEXCOM INC COM USD0.001,US2521311074,"2,457.13","327,281",0.05%
DEXUS DXS,AU000000DXS1,"71,128.14","473,002",0.08%
DIGITAL REALTY TRUST INC COM STK USD0.01,US2538681030,620.91,"165,170",0.03%
DOORDASH INC - A,US25809K1051,666.46,"250,689",0.04%
DYNATRACE INC DT,US2681501092,"1,387.11","116,857",0.02%
EAST JAPAN RAILWAY CO NPV,JP3783600004,"11,069.21","363,431",0.06%
EDP RENOVAVEIS SA EUR5,ES0127797019,"5,399.70","91,641",0.01%
EDWARDS LIFESCIENCES CORP COM STK USD1,US28176E1082,"1,425.16","170,080",0.03%
EISAI CO LTD,JP3160400002,"2,536.69","111,156",0.02%
ELECTRONIC ARTS INC COM USD0.01,US2855121099,483.7,"117,872",0.02%
ELEVANCE HEALTH INC ANTM,US0367521038,651.47,"386,657",0.06%
ELI LILLY & CO COM STK NPV,US5324571083,"1,348.48","1,604,003",0.26%
ELISA OYJ SER'A'SHS NPV,FI0009007884,"2,234.02","188,392",0.03%
EQUINIX INC EQIX,US29444U7000,91.67,"111,266",0.02%
EQUITABLE HOLDINGS INC,US29452E1010,"6,314.64","540,553",0.09%
EQUITY RESIDENTIAL SBI USD0.01,US29476L1070,857.86,"88,346",0.01%
ESSEX PROPERTY TRUST INC COM USD0.0001,US2971781057,601.31,"260,032",0.04%
ESSILORLUXOTTICA EI,FR0000121667,344.18,"143,582",0.02%
EVEREST GROUP LTD,BMG3223R1088,450.26,"233,497",0.04%
EVOLUTION MINING LTD,AU000000EVN4,"113,557.62","884,614",0.14%
F5 INC,US3156161024,640.52,"287,658",0.05%
FAIR ISAAC CORP COM USD0.01,US3032501047,32.86,"91,661",0.01%
FAIRFAX FINANCIAL HLDGS LTD FRFHF,CA3039011026,38.05,"104,591",0.02%
FAST RETAILING CO LTD NPV,JP3802300008,172.96,"90,478",0.01%
FASTENAL CO COM USD0.01,US3119001044,"2,311.85","148,162",0.02%
FERRARI NV RACE,NL0011585146,150.47,"112,148",0.02%
FIRST SOLAR INC COM STK USD0.001,US3364331070,"1,432.08","361,740",0.06%
FISERV INC,US3377381088,"1,071.18","281,806",0.04%
FISHER & PAYKEL HEALTHCARE C NPV,NZFAPE0001S2,"62,918.08","2,115,935",0.34%
FLETCHER BUILDING LTD NPV,NZFBUE0001S0,"55,712.21","150,423",0.02%
FORTINET INC COM USD0.001,US34959E1091,"3,690.31","595,316",0.09%
FOX CORP- CLASS B,US35137L2043,"2,793.82","220,104",0.04%
FRESENIUS MEDICAL CARE AG,DE0005785802,"1,805.67","157,347",0.03%
FRESENIUS SE & CO KGAA FRE,DE0005785604,"2,055.88","157,167",0.03%
